时间,压力,冲击力,温度
2019-05-19 08:23:19:221,0,0,0
2019-05-19 08:23:19:222,0,0,0
2019-05-19 08:23:19:223,0,0,0
2019-05-19 08:23:19:224,0,0,0
2019-05-19 08:23:19:225,0,0,0
2019-05-19 08:23:19:226,0,0,0
2019-05-19 08:23:19:227,0,0,0
2019-05-19 08:23:19:228,0,0,0
2019-05-19 08:23:19:229,0,0,0
2019-05-19 08:23:19:230,0,0,0
2019-05-19 08:23:19:231,0,0,0
2019-05-19 08:23:19:232,0,0,0
2019-05-19 08:23:19:233,0,0,0
2019-05-19 08:23:19:234,0,0,0
2019-05-19 08:23:19:235,0,0,0
2019-05-19 08:23:19:236,0,0,0
2019-05-19 08:23:19:237,0,0,0
2019-05-19 08:23:19:238,0,0,0
2019-05-19 08:23:19:239,0,0,0
2019-05-19 08:23:19:240,0,0,0
2019-05-19 08:23:19:241,0,0,0
2019-05-19 08:23:19:242,0,0,0
2019-05-19 08:23:19:243,0,0,0
2019-05-19 08:23:19:244,0,0,0
2019-05-19 08:23:19:245,0,0,0
2019-05-19 08:23:19:246,0,0,0
2019-05-19 08:23:19:247,0,0,0
2019-05-19 08:23:19:248,0,0,0
2019-05-19 08:23:19:249,0,0,0
2019-05-19 08:23:19:250,0,0,0
2019-05-19 08:23:19:251,0,0,0
2019-05-19 08:23:19:252,0,0,0
2019-05-19 08:23:19:253,0,0,0
2019-05-19 08:23:19:254,0,0,0
2019-05-19 08:23:19:255,0,0,0
2019-05-19 08:23:19:256,0,0,0
2019-05-19 08:23:19:257,0,0,0
2019-05-19 08:23:19:258,0,0,0
2019-05-19 08:23:19:259,0,0,0
2019-05-19 08:23:19:260,0,0,0
2019-05-19 08:23:19:261,0,0,0
2019-05-19 08:23:19:262,0,0,0
2019-05-19 08:23:19:263,0,0,0
2019-05-19 08:23:19:264,0,0,0
2019-05-19 08:23:19:265,0,0,0
2019-05-19 08:23:19:266,0,0,0
2019-05-19 08:23:19:267,0,0,0
2019-05-19 08:23:19:268,0,0,0
2019-05-19 08:23:19:269,0,0,0
2019-05-19 08:23:19:270,0,0,0
2019-05-19 08:23:19:271,0,0,0
2019-05-19 08:23:19:272,0,0,0
2019-05-19 08:23:19:273,0,0,0
2019-05-19 08:23:19:274,0,0,0
2019-05-19 08:23:19:275,0,0,0
2019-05-19 08:23:19:276,0,0,0
2019-05-19 08:23:19:277,0,0,0
2019-05-19 08:23:19:278,0,0,0
2019-05-19 08:23:19:279,0,0,0
2019-05-19 08:23:19:280,0,0,0
2019-05-19 08:23:19:281,0,0,0
2019-05-19 08:23:19:282,0,0,0
2019-05-19 08:23:19:283,0,0,0
2019-05-19 08:23:19:284,0,0,0
2019-05-19 08:23:19:285,0,0,0
2019-05-19 08:23:19:286,0,0,0
2019-05-19 08:23:19:287,0,0,0
2019-05-19 08:23:19:288,0,0,0
2019-05-19 08:23:19:289,0,0,0
2019-05-19 08:23:19:290,0,0,0
2019-05-19 08:23:19:291,0,0,0
2019-05-19 08:23:19:292,0,0,0
2019-05-19 08:23:19:293,0,0,0
2019-05-19 08:23:19:294,0,0,0
2019-05-19 08:23:19:295,0,0,0
2019-05-19 08:23:19:296,0,0,0
2019-05-19 08:23:19:297,0,0,0
2019-05-19 08:23:19:298,0,0,0
2019-05-19 08:23:19:299,0,0,0
2019-05-19 08:23:19:300,0,0,0
2019-05-19 08:23:19:301,0,0,0
2019-05-19 08:23:19:302,0,0,0
2019-05-19 08:23:19:303,0,0,0
2019-05-19 08:23:19:304,0,0,0
